# 玉米种植完全指南

## 一、玉米品种与分类

### 1. 按用途分类
### 4. 干旱应对措施
- 秸秆覆盖，减少土壤水分蒸发
- 中耕松土，切断毛细管，减少水分损失
- 使用保水剂，提高土壤保水能力
- 选择耐旱品种
- 适期早播，避开伏旱

## 五、主要病虫害防治

### 1. 玉米螟（玉米钻心虫）
- 危害症状：幼虫钻蛀茎秆和果穗，造成植株倒折、减产
- 发生规律：一年发生1-4代，北方1-2代，南方3-4代
- 防治时期：心叶末期（大喇叭口期）是防治关键期
- 防治方法：
  * 生物防治：释放赤眼蜂，每代每亩释放2-3万头；使用Bt乳剂
  * 化学防治：用辛硫磷颗粒剂丢心，或用氯虫苯甲酰胺、甲维盐喷雾
  * 农业防治：收获后及时处理秸秆，减少越冬虫源；冬季深翻
  * 物理防治：使用杀虫灯诱杀成虫

### 2. 蚜虫
- 危害症状：刺吸汁液，分泌蜜露，传播病毒病
- 防治时期：抽穗期前后
- 防治药剂：吡虫啉、啶虫脒、噻虫嗪、高效氯氟氰菊酯
- 注意事项：保护天敌（瓢虫、草蛉）

### 3. 红蜘蛛
- 危害症状：叶片出现黄白色斑点，严重时叶片干枯
- 发生条件：高温干旱
- 防治药剂：阿维菌素、哒螨灵、螺螨酯

### 4. 大斑病
- 危害症状：叶片出现长梭形病斑，灰褐色，严重时叶片枯死
- 发生条件：高湿多雨
- 防治方法：
  * 选用抗病品种（如郑单958、先玉335等）
  * 发病初期用戊唑醇、吡唑醚菌酯、苯醚甲环唑喷雾
  * 加强田间管理，增施磷钾肥，提高抗性

### 5. 小斑病
- 危害症状：叶片出现椭圆形病斑，有褐色边缘
- 防治方法：与大斑病类似，注意轮作和通风透光
- 药剂：代森锰锌、甲基托布津

### 6. 锈病
- 危害症状：叶片和叶鞘出现锈褐色粉末状孢子堆
- 防治药剂：三唑酮、戊唑醇、吡唑醚菌酯

### 7. 综合防治策略
- 选用抗病品种（首选）
- 合理轮作，避免连作（建议轮作2-3年）
- 及时清除病株残体，减少初侵染源
- 科学施肥，增施磷钾肥，增强植株抗性
- 合理密植，保持田间通风透光
- 种子处理：播种前用杀菌剂拌种

## 六、生长周期与管理要点

### 1. 生育阶段划分
- 播种-出苗期（7-10天）：种子吸水萌发，胚芽出土
- 苗期（20-25天，3-8叶）：以根系生长为主，管理重点是促根壮苗
- 拔节期（15-20天，8-12叶）：茎秆快速伸长，雌雄穗分化
- 大喇叭口期（10-15天，12-14叶）：雌穗分化关键期，需肥需水高峰期
- 抽穗开花期（7-10天）：雄穗抽出，雌穗吐丝，授粉受精
- 灌浆期（30-40天）：籽粒形成和充实，决定粒重
- 成熟期（15-20天）：籽粒脱水，达到生理成熟

### 2. 各阶段管理要点
- 苗期：
  * 查苗补苗，保证全苗
  * 防治地老虎、蝼蛄等地下害虫
  * 适当控水蹲苗，促进根系下扎
  * 3-5叶期定苗

- 拔节期：
  * 追施拔节肥
  * 中耕培土，促进气生根生长
  * 防治玉米螟

- 大喇叭口期：
  * 重施穗肥（占总追肥量50%）
  * 保证水分供应
  * 防治玉米螟（丢心）
  * 喷施叶面肥

- 抽穗开花期：
  * 保证水分供应，不可干旱
  * 如遇不良天气，可进行人工辅助授粉
  * 防治蚜虫

- 灌浆期：
  * 防早衰，适时浇水
  * 防治病虫害
  * 喷施磷酸二氢钾，促进灌浆

### 3. 积温要求
- 早熟品种：2100-2400℃
- 中熟品种：2400-2800℃
- 晚熟品种：2800-3200℃

## 七、收获与储藏

### 1. 收获时期
- 生理成熟标志：籽粒乳线消失、黑层出现、籽粒变硬
- 籽粒含水量：25-30%时适宜机械收获
- 最佳收获期：完熟期（籽粒含水量30%左右）
- 过早收获：籽粒不饱满，产量降低5-10%
- 过晚收获：易倒伏，鸟鼠危害，落粒损失

### 2. 机械化收获
- 联合收割机收获：效率高，损失率<5%
- 摘穗收获：适合鲜食玉米和制种玉米
- 籽粒直收：适合籽粒脱水快的品种，含水量需降至20%以下
- 青贮收获：全株切碎，含水量65-70%

### 3. 干燥方法
- 自然晾晒：摊薄勤翻，防止霉变，需注意天气变化
- 机械烘干：温度不超过60℃，防止品质下降
- 目标含水量：≤14%（安全储藏标准）
- 高水分玉米需及时处理，防止发热霉变

### 4. 储藏技术
- 仓贮条件：干燥、通风、防鼠、防虫
- 水分控制：入库水分≤14%
- 温度控制：15-20℃，温度越低越好
- 定期检查：每半月检查一次，防霉变、防虫害
- 熏蒸防治：使用磷化铝熏蒸，防治储粮害虫
- 储藏方式：散装储存或袋装储存，注意通风

## 八、常见问题解答

### 1. 为什么玉米会出现秃尖？
- 原因：授粉不良、干旱、高温、缺磷
- 防治：保证抽穗期水分供应，增施磷肥，人工辅助授粉

### 2. 为什么玉米会出现空秆？
- 原因：密度过大、氮肥过多、光照不足、干旱
- 防治：合理密植，平衡施肥，保证光照

### 3. 玉米倒伏怎么办？
- 预防：选用抗倒品种、合理密植、培土、控氮增钾
- 处理：拔节期倒伏可扶正；抽穗后倒伏不宜扶，让其自然恢复

### 4. 如何提高玉米产量？
- 选用优良品种
- 合理密植
- 科学施肥（氮磷钾配合）
- 保证关键期水分
- 病虫害综合防治
- 适时收获

### 5. 鲜食玉米种植有何特殊要求？
- 隔离种植：与其他玉米隔离300米以上，防止串粉
- 分期播种：每隔7-10天播一批，延长供应期
- 适时采收：授粉后20-25天采收，品质最佳
- 及时销售或冷藏：鲜穗糖分下降快

## 九、玉米价格与市场信息
- 玉米是重要的饲料原料，占饲料配方60-70%
- 玉米也是工业原料，可生产淀粉、酒精、燃料乙醇
- 价格受供需、政策、国际市场影响
- 关注农业农村部发布的玉米供需报告
